input_file,output_file,original_sr,intermediate_sr,bit_depth,final_sr,original_samples,final_samples,processing,processing_date,status
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_017.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_017.wav,48000,32000,13,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_022.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_022.wav,48000,24000,12,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_050.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_050.wav,48000,32000,12,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_118.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_118.wav,48000,24000,10,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_135.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_135.wav,48000,8000,14,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_142.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_142.wav,48000,32000,11,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_152.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_152.wav,48000,16000,12,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_169.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_169.wav,48000,8000,14,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_171.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_171.wav,48000,32000,14,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_193.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_193.wav,48000,8000,10,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_260.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_260.wav,48000,16000,10,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_334.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_334.wav,48000,24000,12,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
/data/meeami/Umasubhashini/VCTK_SELECTED_CORPUS/260_all_distortions_vctk/Resampling_VCTK_NISQA_WISE_FILTERED_FINALISED_targets_for_all_distortions/bitcrush/p234_346.wav,/data/meeami/Umasubhashini/BITCRUSH_NEW_WITH_ALL_SAMPLING_RATES/VCTK/VCTK_INS/p234_346.wav,48000,32000,14,48000,480000,480000,resample_bitcrush_upsample,2026-09-15 07:12:30,success
