codec_combo,file_name,codec1_codec,codec1_mp3_bitrate,codec2_codec,codec2_aac_bitrate,codec1_gsm_bitrate,codec1_highpass_filter,codec2_bitrate,codec1_aac_bitrate,codec2_mp3_bitrate,codec2_highpass_filter,codec1_bitrate,codec2_gsm_bitrate,codec1_opus_bitrate,codec2_opus_bitrate
MP3-AAC,p272_192.wav,MP3,40k,AAC,64k,,,,,,,,,,
GSM-MULAW,p323_290.wav,GSM,,MULAW,,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,
AAC-MP3,p364_126.wav,AAC,,MP3,,,,,80k,32k,,,,,
MP3-ALAW,p326_313.wav,MP3,8k,ALAW,,,,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
AAC-MP3,p255_319.wav,AAC,,MP3,,,,,40k,48k,,,,,
GSM-ALAW,p316_293.wav,GSM,,ALAW,,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-MULAW,p284_202.wav,GSM,,MULAW,,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,
MULAW-ALAW,p335_261.wav,MULAW,,ALAW,,,,64k,,,"{'cutoff_freq': 20, 'order': 2}",64k,,,
ALAW-AAC,p333_012.wav,ALAW,,AAC,48k,,"{'cutoff_freq': 20, 'order': 2}",,,,,64k,,,
MULAW-GSM,p234_135.wav,MULAW,,GSM,,,,,,,"{'cutoff_freq': 20, 'order': 2}",64k,13.2k,,
MULAW-MP3,p326_307.wav,MULAW,,MP3,,,,,,80k,,64k,,,
OPUS-GSM,p234_171.wav,OPUS,,GSM,,,,,,,"{'cutoff_freq': 20, 'order': 2}",,13k,16k,
AAC-MULAW,p234_260.wav,AAC,,MULAW,,,,64k,48k,,,,,,
GSM-MP3,p299_066.wav,GSM,,MP3,,13.2k,"{'cutoff_freq': 20, 'order': 2}",,,16k,,,,,
ALAW-MP3,p323_084.wav,ALAW,,MP3,,,"{'cutoff_freq': 20, 'order': 2}",,,64k,,64k,,,
AAC-MULAW,p295_077.wav,AAC,,MULAW,,,,64k,56k,,,,,,
MP3-GSM,p249_110.wav,MP3,40k,GSM,,,,,,,"{'cutoff_freq': 20, 'order': 2}",,13k,,
AAC-MULAW,p341_337.wav,AAC,,MULAW,,,,64k,96k,,,,,,
AAC-OPUS,p255_029.wav,AAC,,OPUS,,,,,64k,,,,,,5k
GSM-MULAW,p302_008.wav,GSM,,MULAW,,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,
OPUS-MULAW,p301_311.wav,OPUS,,MULAW,,,,64k,,,,,,64k,
AAC-GSM,p241_327.wav,AAC,,GSM,,,,,48k,,"{'cutoff_freq': 20, 'order': 2}",,13.2k,,
GSM-ALAW,p363_159.wav,GSM,,ALAW,,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
MULAW-MP3,p302_289.wav,MULAW,,MP3,,,,,,40k,,64k,,,
AAC-OPUS,p305_396.wav,AAC,,OPUS,,,,,40k,,,,,,24k
MP3-OPUS,p285_135.wav,MP3,80k,OPUS,,,,,,,,,,,5k
MP3-OPUS,p275_020.wav,MP3,80k,OPUS,,,,,,,,,,,24k
AAC-OPUS,p361_001.wav,AAC,,OPUS,,,,,56k,,,,,,5k
MULAW-ALAW,p249_281.wav,MULAW,,ALAW,,,,64k,,,"{'cutoff_freq': 20, 'order': 2}",64k,,,
MP3-OPUS,p363_219.wav,MP3,64k,OPUS,,,,,,,,,,,32k
ALAW-OPUS,p312_072.wav,ALAW,,OPUS,,,"{'cutoff_freq': 20, 'order': 2}",,,,,64k,,,16k
ALAW-MP3,p326_085.wav,ALAW,,MP3,,,"{'cutoff_freq': 20, 'order': 2}",,,24k,,64k,,,
MULAW-OPUS,p299_081.wav,MULAW,,OPUS,,,,,,,,64k,,,16k
AAC-GSM,p299_051.wav,AAC,,GSM,,,,,56k,,"{'cutoff_freq': 20, 'order': 2}",,13k,,
GSM-OPUS,p275_214.wav,GSM,,OPUS,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,96k
MP3-AAC,p295_035.wav,MP3,48k,AAC,48k,,,,,,,,,,
ALAW-GSM,p264_287.wav,ALAW,,GSM,,,"{'cutoff_freq': 20, 'order': 2}",,,,"{'cutoff_freq': 20, 'order': 2}",64k,13k,,
GSM-MULAW,p241_312.wav,GSM,,MULAW,,13.2k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,
MP3-OPUS,p275_095.wav,MP3,96k,OPUS,,,,,,,,,,,64k
MP3-ALAW,p255_322.wav,MP3,24k,ALAW,,,,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,,
GSM-MULAW,p295_005.wav,GSM,,MULAW,,13k,"{'cutoff_freq': 20, 'order': 2}",64k,,,,,,,
OPUS-MP3,p241_171.wav,OPUS,,MP3,,,,,,48k,,,,24k,
ALAW-AAC,p323_156.wav,ALAW,,AAC,40k,,"{'cutoff_freq': 20, 'order': 2}",,,,,64k,,,
ALAW-GSM,p249_013.wav,ALAW,,GSM,,,"{'cutoff_freq': 20, 'order': 2}",,,,"{'cutoff_freq': 20, 'order': 2}",64k,13.2k,,
MP3-MULAW,p237_301.wav,MP3,48k,MULAW,,,,64k,,,,,,,
MP3-MULAW,p272_152.wav,MP3,64k,MULAW,,,,64k,,,,,,,
MP3-OPUS,p255_246.wav,MP3,40k,OPUS,,,,,,,,,,,24k
OPUS-ALAW,p234_334.wav,OPUS,,ALAW,,,,64k,,,"{'cutoff_freq': 20, 'order': 2}",,,32k,
MULAW-GSM,p316_147.wav,MULAW,,GSM,,,,,,,"{'cutoff_freq': 20, 'order': 2}",64k,13.2k,,
MULAW-ALAW,p302_306.wav,MULAW,,ALAW,,,,64k,,,"{'cutoff_freq': 20, 'order': 2}",64k,,,
AAC-MP3,p305_237.wav,AAC,,MP3,,,,,48k,16k,,,,,
GSM-AAC,p234_152.wav,GSM,,AAC,96k,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,
OPUS-AAC,p285_260.wav,OPUS,,AAC,32k,,,,,,,,,5k,
MP3-GSM,p316_019.wav,MP3,80k,GSM,,,,,,,"{'cutoff_freq': 20, 'order': 2}",,13.2k,,
OPUS-MP3,p326_352.wav,OPUS,,MP3,,,,,,24k,,,,96k,
MULAW-GSM,p241_328.wav,MULAW,,GSM,,,,,,,"{'cutoff_freq': 20, 'order': 2}",64k,13.2k,,
MULAW-GSM,p323_086.wav,MULAW,,GSM,,,,,,,"{'cutoff_freq': 20, 'order': 2}",64k,13.2k,,
MP3-MULAW,p251_120.wav,MP3,96k,MULAW,,,,64k,,,,,,,
AAC-OPUS,p275_106.wav,AAC,,OPUS,,,,,40k,,,,,,32k
AAC-OPUS,p326_362.wav,AAC,,OPUS,,,,,32k,,,,,,64k
AAC-MP3,p299_061.wav,AAC,,MP3,,,,,48k,80k,,,,,
GSM-OPUS,p333_175.wav,GSM,,OPUS,,13k,"{'cutoff_freq': 20, 'order': 2}",,,,,,,,32k
MP3-OPUS,p255_119.wav,MP3,32k,OPUS,,,,,,,,,,,5k
MULAW-AAC,p241_090.wav,MULAW,,AAC,96k,,,,,,,64k,,,
