filename,subfolder,processor_order,bitcrush_bit_depth,bitcrush_original_sr,bitcrush_processing_date,Resampling_target_rate,Resampling_processing_time,filters_filter_type,filters_low_cutoff,filters_high_cutoff,filters_order,filters_processing_date,only_codec_codec,only_codec_opus_bitrate,only_codec_mp3_bitrate,only_codec_aac_bitrate,only_codec_gsm_bitrate,only_codec_bitrate,only_codec_highpass_filter,error
p272_192.wav,only_codec,,,,,,,,,,,,OPUS,32k,,,,,,
p323_290.wav,only_codec,,,,,,,,,,,,OPUS,8k,,,,,,
p364_126.wav,only_codec,,,,,,,,,,,,GSM,,,,13k,,,
p326_313.wav,only_codec,,,,,,,,,,,,OPUS,64k,,,,,,
p255_319.wav,only_codec,,,,,,,,,,,,OPUS,5k,,,,,,
p316_293.wav,only_codec,,,,,,,,,,,,OPUS,24k,,,,,,
p284_202.wav,only_codec,,,,,,,,,,,,MP3,,24k,,,,,
p335_261.wav,only_codec,,,,,,,,,,,,AAC,,,40k,,,,
p333_012.wav,only_codec,,,,,,,,,,,,GSM,,,,13.2k,,,
p326_307.wav,only_codec,,,,,,,,,,,,MP3,,8k,,,,,
p299_066.wav,only_codec,,,,,,,,,,,,MP3,,16k,,,,,
p323_084.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p295_077.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p341_337.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p302_008.wav,only_codec,,,,,,,,,,,,MP3,,64k,,,,,
p301_311.wav,only_codec,,,,,,,,,,,,GSM,,,,13k,,,
p363_159.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p302_289.wav,only_codec,,,,,,,,,,,,AAC,,,12k,,,,
p305_396.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p285_135.wav,only_codec,,,,,,,,,,,,AAC,,,48k,,,,
p275_020.wav,only_codec,,,,,,,,,,,,AAC,,,64k,,,,
p361_001.wav,only_codec,,,,,,,,,,,,MP3,,24k,,,,,
p363_219.wav,only_codec,,,,,,,,,,,,MP3,,48k,,,,,
p312_072.wav,only_codec,,,,,,,,,,,,OPUS,24k,,,,,,
p326_085.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p299_081.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p299_051.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p275_214.wav,only_codec,,,,,,,,,,,,MP3,,32k,,,,,
p295_035.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p264_287.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p275_095.wav,only_codec,,,,,,,,,,,,OPUS,64k,,,,,,
p255_322.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p295_005.wav,only_codec,,,,,,,,,,,,OPUS,5k,,,,,,
p323_156.wav,only_codec,,,,,,,,,,,,MP3,,48k,,,,,
p272_152.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p255_246.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p316_147.wav,only_codec,,,,,,,,,,,,GSM,,,,13k,,,
p302_306.wav,only_codec,,,,,,,,,,,,AAC,,,64k,,,,
p305_237.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p285_260.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p316_019.wav,only_codec,,,,,,,,,,,,OPUS,16k,,,,,,
p326_352.wav,only_codec,,,,,,,,,,,,AAC,,,64k,,,,
p323_086.wav,only_codec,,,,,,,,,,,,OPUS,5k,,,,,,
p275_106.wav,only_codec,,,,,,,,,,,,MP3,,40k,,,,,
p326_362.wav,only_codec,,,,,,,,,,,,AAC,,,48k,,,,
p299_061.wav,only_codec,,,,,,,,,,,,AAC,,,64k,,,,
p333_175.wav,only_codec,,,,,,,,,,,,GSM,,,,13.2k,,,
p255_119.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p333_182.wav,only_codec,,,,,,,,,,,,AAC,,,8k,,,,
p326_105.wav,only_codec,,,,,,,,,,,,AAC,,,64k,,,,
p335_357.wav,only_codec,,,,,,,,,,,,OPUS,16k,,,,,,
p312_358.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p335_410.wav,only_codec,,,,,,,,,,,,MP3,,8k,,,,,
p335_350.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p341_125.wav,only_codec,,,,,,,,,,,,GSM,,,,13.2k,,,
p336_236.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p335_165.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p361_177.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p335_197.wav,only_codec,,,,,,,,,,,,GSM,,,,13k,,,
p305_038.wav,only_codec,,,,,,,,,,,,MULAW,,,,,64k,,
p316_155.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p316_134.wav,only_codec,,,,,,,,,,,,MP3,,48k,,,,,
p301_122.wav,only_codec,,,,,,,,,,,,ALAW,,,,,64k,"{'cutoff_freq': 20, 'order': 2}",
p363_036.wav,only_codec,,,,,,,,,,,,MP3,,32k,,,,,
p299_063.wav,only_codec,,,,,,,,,,,,AAC,,,48k,,,,
p333_229.wav,only_codec,,,,,,,,,,,,GSM,,,,13k,,,
p302_101.wav,only_codec,,,,,,,,,,,,GSM,,,,13.2k,,,
